Source Target Weight
莱摩儿 格里芬 30
莱摩儿 耶达里 11
莱摩儿 王子 14
小丑 布蕾妮 13
小丑 夏格维 19
艾隆 艾蒙 31
洛恩 母亲河 13
贝克 雷耶斯 13
贝克 泰温 29
贝克 兰尼 17
贝克 凯岩城 16
艾伦 桑塔加 16
泰尔 泰温 12
泰尔 席恩 15
泰尔 奥柏伦 22
泰尔 道朗 62
泰尔 劳勃 11
泰尔 利尔 16
泰尔 亚莲恩 22
泰尔 林铁卫 12
泰尔 阳戟 32
泰尔 伯爵 13
泰尔 兰尼 11
泰尔 乔佛里 12
泰尔 王子 22
泰尔 史坦 11
席恩家 蓝礼 18
席恩家 乔佛里 12
席恩家 劳勃 28
席恩家 兰尼 20
席恩家 史坦 15
诸神 雪诺 11
诸神 雷德 11
诸神 格雷果 19
诸神 拉姆斯 12
诸神 古老 11
诸神 贝勒 11
诸神 詹姆 55
诸神 师傅 11
诸神 托蒙德 16
诸神 史坦 50
诸神 伯爵 22
诸神 明白 23
诸神 兰尼 66
诸神 席恩 35
诸神 王子 18
诸神 梁木 19
诸神 罗柏 45
诸神 艾林 14
诸神 泰温 22
诸神 席尔 11
诸神 王座 14
诸神 布蕾妮 21
诸神 艾德 18
诸神 赫伦 15
诸神 吉莉 14
诸神 劳勃 55
诸神 英勇 11
诸神 太后 20
诸神 艾德慕 13
诸神 蓝礼 18
诸神 侏儒 22
诸神 饶恕 12
诸神 王后 20
诸神 荣誉 16
诸神 乔佛里 47
诸神 雷加 12
诸神 阿多 12
诸神 小姐 11
诸神 原谅 11
诸神 戴佛斯 26
诸神 玛格丽 12
诸神 艾莉亚 21
庄园 尤伦 18
庄园 艾莉亚 15
高塔 大圣堂 11
高塔 赫伦 15
莫勒 斯科娅 11
克雷顿 布蕾妮 15
瓦狄斯 波隆 53
师傅 雪诺 18
师傅 欧莎 12
师傅 席恩 28
师傅 吉莉 12
师傅 诸神 11
师傅 韦曼 11
师傅 伯爵 14
师傅 明白 13
师傅 伊蒙 111
师傅 史坦 13
师傅 罗柏 38
师傅 莫尔蒙 13
师傅 劳勃 20
师傅 唐纳 14
师傅 鲁温 175
师傅 瑞肯 19
师傅 柯蒙 17
师傅 阿多 26
师傅 雷利亚 11
师傅 艾莉亚 11
敬神 伊伦 15
敬神 石之 11
尔伯爵 海塔 11
尔伯爵 伯爵 16
尔伯爵 雷顿 11
黄砖 渊凯 19
霍斯丁 伯爵 12
霍斯丁 威尔 11
霍斯丁 曼德勒 11
贾斯皮 艾林 20
石之 伊伦 12
石之 敬神 11
孤儿 盖林 13
孤儿 亚莲恩 11
霍伍德 伯爵夫人 35
霍伍德 伯爵 26
霍伍德 鲁温 16
霍伍德 陶哈 15
霍伍德 卢斯 13
霍伍德 葛洛佛 13
霍伍德 曼德勒 15
霍伍德 安柏 14
皮雅 詹姆 30
亚梭尔 史坦 13
钟声 劳勃 11
老姐 詹姆 33
